"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 27 15:30:52 CST 2020","Fri Mar 27 15:30:52 CST 2020","0","Case","test_api","TestApi","","","test_add[40-40-1]",""
"passed","Fri Mar 27 15:30:46 CST 2020","Fri Mar 27 15:30:46 CST 2020","83","Case","test_api","TestApi","","","请求接口:http://www.kuaidi100.com/query","用例描述:NULL"
"passed","Fri Mar 27 15:30:52 CST 2020","Fri Mar 27 15:30:52 CST 2020","0","Case","test_api","TestApi","","","test_add[9-9-18]",""
"failed","Fri Mar 27 15:30:46 CST 2020","Fri Mar 27 15:30:51 CST 2020","5124","Case","test_api","TestApi","","","请求接口:http://www.kuaidi100.com/query","用例描述:Get请求,接口为/query,测试结果应不通过"
"passed","Fri Mar 27 15:30:52 CST 2020","Fri Mar 27 15:30:52 CST 2020","84","Case","test_api","TestApi","","","请求接口:http://www.kuaidi100.com/query","用例描述:POST请求,接口为/query,预期结果为返回码500"
"passed","Fri Mar 27 15:30:52 CST 2020","Fri Mar 27 15:30:52 CST 2020","0","Case","test_api","TestApi","","","test_add[4-4-8]",""
"passed","Fri Mar 27 15:30:46 CST 2020","Fri Mar 27 15:30:46 CST 2020","97","Case","test_api","TestApi","","","请求接口:http://www.kuaidi100.com/query","用例描述:POST请求,接口为/query,测试结果应通过"
"passed","Fri Mar 27 15:30:51 CST 2020","Fri Mar 27 15:30:52 CST 2020","86","Case","test_api","TestApi","","","请求接口:http://www.kuaidi100.com/query","用例描述:POST请求,接口为/query,预期结果返回体是否包含yunda"
"failed","Fri Mar 27 15:30:52 CST 2020","Fri Mar 27 15:30:52 CST 2020","0","Case","test_api","TestApi","","","test_add[5-7-9]",""
"failed","Fri Mar 27 15:30:52 CST 2020","Fri Mar 27 15:30:52 CST 2020","0","Case","test_api","TestApi","","","test_add[6-5-30]",""
